[sweep] 320 runs total | 0 already complete | 320 to run
[sweep] concurrency=48 gpus=[0, 1, 2, 3, 4, 5, 6, 7] results=/workspace/rql_results
[  1/320 | fail 0 |  3.15h elapsed | ETA 1005.27h] done   scene-play__task1__sd1
[  2/320 | fail 0 |  3.16h elapsed | ETA 501.68h] done   scene-play__task1__sd0
[  3/320 | fail 0 |  3.16h elapsed | ETA 333.75h] done   antmaze-large-navigate__task1__sd1
[  4/320 | fail 0 |  3.16h elapsed | ETA 249.54h] done   scene-play__task1__sd3
[  5/320 | fail 0 |  3.16h elapsed | ETA 199.10h] done   antmaze-large-navigate__task1__sd0
[  6/320 | fail 0 |  3.16h elapsed | ETA 165.55h] done   antmaze-large-navigate__task1__sd3
[  7/320 | fail 0 |  3.16h elapsed | ETA 141.48h] done   scene-play__task1__sd2
[  8/320 | fail 0 |  3.17h elapsed | ETA 123.49h] done   antmaze-large-navigate__task1__sd2
[  9/320 | fail 0 |  3.17h elapsed | ETA 109.54h] done   scene-play__task1__sd4
[ 10/320 | fail 0 |  3.17h elapsed | ETA 98.35h] done   scene-play__task1__sd5
[ 11/320 | fail 0 |  3.18h elapsed | ETA 89.22h] done   puzzle-3x3-play__task1__sd0
[ 12/320 | fail 0 |  3.19h elapsed | ETA 81.81h] done   antmaze-large-navigate__task1__sd4
[ 13/320 | fail 0 |  3.19h elapsed | ETA 75.30h] done   puzzle-3x3-play__task1__sd1
[ 14/320 | fail 0 |  3.20h elapsed | ETA 69.88h] done   puzzle-3x3-play__task1__sd2
[ 15/320 | fail 0 |  3.21h elapsed | ETA 65.19h] done   puzzle-3x3-play__task1__sd3
[ 16/320 | fail 0 |  3.21h elapsed | ETA 61.03h] done   puzzle-3x3-play__task1__sd4
[ 17/320 | fail 0 |  3.21h elapsed | ETA 57.25h] done   antmaze-large-navigate__task1__sd5
[ 18/320 | fail 0 |  3.22h elapsed | ETA 53.94h] done   puzzle-3x3-play__task1__sd5
[ 19/320 | fail 0 |  3.24h elapsed | ETA 51.26h] done   antmaze-giant-navigate__task1__sd0
[ 20/320 | fail 0 |  3.24h elapsed | ETA 48.57h] done   antmaze-giant-navigate__task1__sd1
[ 21/320 | fail 0 |  3.24h elapsed | ETA 46.11h] done   antmaze-giant-navigate__task1__sd2
[ 22/320 | fail 0 |  3.24h elapsed | ETA 43.92h] done   antmaze-giant-navigate__task1__sd3
[ 23/320 | fail 0 |  3.25h elapsed | ETA 41.98h] done   cube-double-play__task1__sd0
[ 24/320 | fail 0 |  3.26h elapsed | ETA 40.22h] done   antmaze-giant-navigate__task1__sd4
[ 25/320 | fail 0 |  3.26h elapsed | ETA 38.49h] done   cube-double-play__task1__sd2
[ 26/320 | fail 0 |  3.26h elapsed | ETA 36.92h] done   cube-double-play__task1__sd1
[ 27/320 | fail 0 |  3.27h elapsed | ETA 35.43h] done   antmaze-giant-navigate__task1__sd5
[ 28/320 | fail 0 |  3.28h elapsed | ETA 34.25h] done   cube-double-play__task1__sd3
[ 29/320 | fail 0 |  3.28h elapsed | ETA 32.96h] done   cube-double-play__task1__sd4
[ 30/320 | fail 0 |  3.29h elapsed | ETA 31.76h] done   cube-double-play__task1__sd5
[ 31/320 | fail 0 |  3.33h elapsed | ETA 31.00h] done   humanoidmaze-medium-navigate__task1__sd0
[ 32/320 | fail 0 |  3.33h elapsed | ETA 29.96h] done   humanoidmaze-medium-navigate__task1__sd1
[ 33/320 | fail 0 |  3.33h elapsed | ETA 28.96h] done   humanoidmaze-medium-navigate__task1__sd4
[ 34/320 | fail 0 |  3.33h elapsed | ETA 28.01h] done   humanoidmaze-medium-navigate__task1__sd2
[ 35/320 | fail 0 |  3.34h elapsed | ETA 27.17h] done   humanoidmaze-medium-navigate__task1__sd3
[ 36/320 | fail 0 |  3.40h elapsed | ETA 26.80h] done   humanoidmaze-medium-navigate__task1__sd5
[ 37/320 | fail 0 |  3.43h elapsed | ETA 26.23h] done   humanoidmaze-large-navigate__task1__sd0
[ 38/320 | fail 0 |  3.44h elapsed | ETA 25.52h] done   humanoidmaze-large-navigate__task1__sd1
[ 39/320 | fail 0 |  3.44h elapsed | ETA 24.82h] done   humanoidmaze-large-navigate__task1__sd2
[ 40/320 | fail 0 |  3.45h elapsed | ETA 24.13h] done   humanoidmaze-large-navigate__task1__sd3
[ 41/320 | fail 0 |  3.45h elapsed | ETA 23.49h] done   humanoidmaze-large-navigate__task1__sd5
[ 42/320 | fail 0 |  3.48h elapsed | ETA 23.02h] done   cube-triple-play__task1__sd1
[ 43/320 | fail 0 |  3.48h elapsed | ETA 22.41h] done   cube-triple-play__task1__sd0
[ 44/320 | fail 0 |  3.48h elapsed | ETA 21.84h] done   cube-triple-play__task1__sd2
[ 45/320 | fail 0 |  3.48h elapsed | ETA 21.29h] done   cube-triple-play__task1__sd3
[ 46/320 | fail 0 |  3.49h elapsed | ETA 20.79h] done   cube-triple-play__task1__sd4
[ 47/320 | fail 0 |  3.49h elapsed | ETA 20.29h] done   cube-triple-play__task1__sd5
[ 48/320 | fail 0 |  3.54h elapsed | ETA 20.04h] done   humanoidmaze-large-navigate__task1__sd4
[ 49/320 | fail 0 |  6.20h elapsed | ETA 34.30h] done   puzzle-3x3-play__task1__sd6
[ 50/320 | fail 0 |  6.22h elapsed | ETA 33.59h] done   puzzle-3x3-play__task1__sd7
[ 51/320 | fail 0 |  6.22h elapsed | ETA 32.83h] done   scene-play__task1__sd6
[ 52/320 | fail 0 |  6.24h elapsed | ETA 32.14h] done   scene-play__task1__sd7
[ 53/320 | fail 0 |  6.28h elapsed | ETA 31.65h] done   cube-double-play__task1__sd6
[ 54/320 | fail 0 |  6.28h elapsed | ETA 30.95h] done   antmaze-large-navigate__task1__sd6
[ 55/320 | fail 0 |  6.31h elapsed | ETA 30.42h] done   puzzle-3x3-play__task2__sd0
[ 56/320 | fail 0 |  6.36h elapsed | ETA 29.99h] done   cube-double-play__task1__sd7
[ 57/320 | fail 0 |  6.37h elapsed | ETA 29.39h] done   antmaze-large-navigate__task2__sd0
[ 58/320 | fail 0 |  6.37h elapsed | ETA 28.78h] done   puzzle-3x3-play__task2__sd1
[ 59/320 | fail 0 |  6.37h elapsed | ETA 28.20h] done   antmaze-large-navigate__task1__sd7
[ 60/320 | fail 0 |  6.38h elapsed | ETA 27.67h] done   antmaze-giant-navigate__task1__sd6
[ 61/320 | fail 0 |  6.41h elapsed | ETA 27.21h] done   cube-double-play__task2__sd0
[ 62/320 | fail 0 |  6.41h elapsed | ETA 26.67h] done   antmaze-giant-navigate__task2__sd0
[ 63/320 | fail 0 |  6.42h elapsed | ETA 26.19h] done   puzzle-3x3-play__task2__sd2
[ 64/320 | fail 0 |  6.45h elapsed | ETA 25.80h] done   cube-double-play__task2__sd1
[ 65/320 | fail 0 |  6.47h elapsed | ETA 25.37h] done   scene-play__task2__sd0
[ 66/320 | fail 0 |  6.47h elapsed | ETA 24.91h] done   humanoidmaze-medium-navigate__task2__sd0
[ 67/320 | fail 0 |  6.48h elapsed | ETA 24.46h] done   humanoidmaze-medium-navigate__task1__sd7
[ 68/320 | fail 0 |  6.48h elapsed | ETA 24.02h] done   antmaze-large-navigate__task2__sd1
[ 69/320 | fail 0 |  6.52h elapsed | ETA 23.70h] done   antmaze-giant-navigate__task1__sd7
[ 70/320 | fail 0 |  6.52h elapsed | ETA 23.29h] done   humanoidmaze-medium-navigate__task2__sd1
[ 71/320 | fail 0 |  6.54h elapsed | ETA 22.93h] done   antmaze-giant-navigate__task2__sd1
[ 72/320 | fail 0 |  6.57h elapsed | ETA 22.63h] done   scene-play__task2__sd1
[ 73/320 | fail 0 |  6.57h elapsed | ETA 22.23h] done   cube-double-play__task2__sd2
[ 74/320 | fail 0 |  6.58h elapsed | ETA 21.87h] done   antmaze-large-navigate__task2__sd2
[ 75/320 | fail 0 |  6.58h elapsed | ETA 21.50h] done   humanoidmaze-large-navigate__task1__sd6
[ 76/320 | fail 0 |  6.59h elapsed | ETA 21.16h] done   cube-triple-play__task1__sd7
[ 77/320 | fail 0 |  6.60h elapsed | ETA 20.84h] done   humanoidmaze-medium-navigate__task2__sd2
[ 78/320 | fail 0 |  6.60h elapsed | ETA 20.48h] done   humanoidmaze-medium-navigate__task1__sd6
[ 79/320 | fail 0 |  6.61h elapsed | ETA 20.16h] done   puzzle-3x3-play__task2__sd3
[ 80/320 | fail 0 |  6.62h elapsed | ETA 19.86h] done   scene-play__task2__sd2
[ 81/320 | fail 0 |  6.64h elapsed | ETA 19.59h] done   antmaze-giant-navigate__task2__sd2
[ 82/320 | fail 0 |  6.69h elapsed | ETA 19.43h] done   scene-play__task2__sd3
[ 83/320 | fail 0 |  6.72h elapsed | ETA 19.18h] done   antmaze-large-navigate__task2__sd3
[ 84/320 | fail 0 |  6.72h elapsed | ETA 18.88h] done   humanoidmaze-medium-navigate__task2__sd3
[ 85/320 | fail 0 |  6.73h elapsed | ETA 18.61h] done   cube-triple-play__task1__sd6
[ 86/320 | fail 0 |  6.74h elapsed | ETA 18.34h] done   cube-double-play__task2__sd3
[ 87/320 | fail 0 |  6.75h elapsed | ETA 18.08h] done   antmaze-giant-navigate__task2__sd3
[ 88/320 | fail 0 |  6.76h elapsed | ETA 17.82h] done   cube-triple-play__task2__sd0
[ 89/320 | fail 0 |  6.83h elapsed | ETA 17.73h] done   humanoidmaze-large-navigate__task1__sd7
[ 90/320 | fail 0 |  6.83h elapsed | ETA 17.46h] done   cube-triple-play__task2__sd1
[ 91/320 | fail 0 |  6.91h elapsed | ETA 17.38h] done   humanoidmaze-large-navigate__task2__sd0
[ 92/320 | fail 0 |  6.95h elapsed | ETA 17.22h] done   cube-triple-play__task2__sd2
[ 93/320 | fail 0 |  7.01h elapsed | ETA 17.10h] done   humanoidmaze-large-navigate__task2__sd1
[ 94/320 | fail 0 |  7.03h elapsed | ETA 16.91h] done   cube-triple-play__task2__sd3
[ 95/320 | fail 0 |  7.09h elapsed | ETA 16.79h] done   humanoidmaze-large-navigate__task2__sd2
[ 96/320 | fail 0 |  7.18h elapsed | ETA 16.75h] done   humanoidmaze-large-navigate__task2__sd3
