training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
75.22047,0.34809196,13.668198,0.41513565,-0.5239914,57.68564,-77.681046,1.7694721,-77.681046,-90.01844,0.7747335,-76.216354,-89.25168,89.236755,0.007670394968986511,76.70395708084106,10000
62.576073,0.22248183,1.9288441,0.13613902,-0.12585796,14.989228,-63.386242,-22.927383,-63.386242,-70.65546,-21.037943,-63.06488,-70.20107,64.727394,0.007817878437042236,154.88274884223938,20000
73.04198,0.22430633,4.445684,0.16514014,-0.19846354,27.121838,-73.62947,-23.063753,-73.62947,-89.26348,-25.08126,-73.04198,-88.53589,77.71197,0.010140245914459228,256.2852141857147,30000
64.33625,0.29059103,2.2235062,0.14450753,-0.14793506,20.230902,-65.180954,0.7334336,-65.180954,-88.400185,0.27550465,-64.33625,-87.67732,66.85034,0.011305190753936767,369.33712697029114,40000
64.24751,0.32291433,1.8603424,0.12501048,-0.19931363,16.06139,-65.484184,3.3812726,-65.484184,-89.04945,0.6910275,-64.52446,-87.83464,66.43077,0.011298925948143005,482.3263919353485,50000
65.63405,0.2618461,1.2004851,0.12744491,-0.08584425,11.336977,-66.664696,0.9732691,-66.664696,-91.249725,0.3915605,-65.85957,-89.62821,67.09638,0.011304094409942627,595.3673419952393,60000
67.96784,0.34827197,1.1146958,0.124216534,-0.12356397,9.887744,-68.98012,-4.9212036,-68.98012,-92.81112,-10.920066,-67.96784,-92.06393,69.43081,0.011306829833984375,708.4356453418732,70000
65.75021,0.3091703,1.1810694,0.22662665,-0.30197942,14.023614,-68.08628,0.6368302,-68.08628,-93.990486,0.4365247,-66.895004,-90.97215,67.240456,0.011281231474876403,821.247965335846,80000
67.62738,0.3688903,1.1196705,0.56656396,-0.5423101,15.128448,-68.67427,-18.718866,-68.67427,-93.742165,-18.447226,-67.62738,-93.04282,69.11594,0.011255253005027771,933.800507068634,90000
68.560776,0.2630716,1.1699358,0.09557101,-0.10504056,9.831607,-69.656364,-22.41628,-69.656364,-93.993004,-17.9448,-68.560776,-93.32936,69.99378,0.011271950888633728,1046.5200209617615,100000
66.52869,0.37334523,1.27953,0.12463803,-0.15754446,10.800861,-68.00418,0.67958844,-68.00418,-94.51543,0.49938518,-66.52869,-93.88457,68.181564,0.011269257187843322,1159.2125988006592,110000
67.32788,0.3082379,0.9824029,0.18540974,-0.27552176,11.5812645,-68.90664,-25.427053,-68.90664,-95.0447,-11.462674,-67.32788,-94.82784,68.61852,0.011285426640510559,1272.0668716430664,120000
67.07094,0.40812582,1.2008264,0.3604789,-0.43631223,12.266543,-68.88578,0.22990051,-68.88578,-92.88102,0.06954303,-67.36561,-92.53411,68.67989,0.011303709602355957,1385.1039733886719,130000
66.32209,0.373399,0.8191662,0.1485968,-0.14789966,7.9477806,-67.76754,-17.656212,-67.76754,-96.60593,-16.503014,-66.32209,-96.07459,67.514656,0.011301365065574645,1498.11762881279,140000
65.05568,0.3900024,0.6787097,0.11252749,-0.09572793,7.2824125,-66.52805,0.75387025,-66.52805,-93.87496,-0.12572506,-65.05568,-92.46134,66.12439,0.01129953169822693,1611.1129505634308,150000
67.18064,0.34957412,0.48676157,0.056802303,-0.091027044,5.61532,-68.98821,-18.525867,-68.98821,-92.76847,-15.350168,-67.525116,-92.44854,68.016975,0.011305612897872925,1724.1690833568573,160000
66.94911,0.35676223,1.4808044,0.08799937,-0.10163896,9.67901,-68.60204,0.037764028,-68.60204,-97.672356,-0.13347284,-67.21085,-97.42626,68.78668,0.011288327431678772,1837.0523617267609,170000
67.21786,0.4678501,0.6690075,0.13293746,-0.15109368,7.8658,-69.455986,-21.853855,-69.455986,-97.2027,-22.962534,-67.86986,-96.62963,68.35471,0.011297542023658753,1950.0277862548828,180000
67.04033,0.3315906,0.6702935,0.095048964,-0.11968487,7.048234,-68.44349,-21.215338,-68.44349,-97.52712,-11.238273,-67.04033,-97.17957,68.04221,0.011301593041419982,2063.0437202453613,190000
66.10401,0.39637387,0.78564924,0.17931786,-0.18769988,8.233641,-67.54335,-16.530388,-67.54335,-97.04794,-16.70784,-66.10401,-96.79402,67.28604,0.011297449588775635,2176.018219470978,200000
66.51648,0.26257834,1.0563599,0.27915984,-0.36421016,11.102829,-67.66658,0.56368154,-67.66658,-92.00338,0.42110902,-66.51648,-91.279205,67.83542,0.01130510663986206,2289.069290161133,210000
67.71233,0.39404386,0.37055248,0.07508987,-0.06541739,4.83785,-68.95122,-23.464926,-68.95122,-91.70401,-22.527617,-67.71233,-90.93667,68.47693,0.011290669488906861,2401.975989818573,220000
67.32249,0.3695639,0.4080223,0.0810558,-0.08330715,5.68791,-69.33411,-0.123946324,-69.33411,-92.664734,0.17641039,-67.79904,-92.39843,68.10007,0.011301473546028137,2514.9907307624817,230000
66.461914,0.40994704,0.36370826,0.17690243,-0.13025098,5.430658,-68.066795,1.223904,-68.066795,-91.15321,0.678592,-66.461914,-90.20794,67.23557,0.01128475878238678,2627.838322877884,240000
66.95438,0.27326557,0.37269172,0.26900724,-0.18303668,5.5241637,-68.21736,1.2786644,-68.21736,-98.33566,0.72697306,-67.15696,-98.02184,67.60033,0.01130029182434082,2740.8412454128265,250000
67.94548,0.38277945,0.54445356,0.1317848,-0.31335545,9.48992,-69.58658,0.2905992,-69.58658,-92.01043,0.21563402,-67.94548,-91.047966,68.87272,0.011299557256698609,2853.8368225097656,260000
66.167755,0.2572936,0.4810457,0.16679613,-0.12397851,6.3728867,-67.29614,-17.37941,-67.29614,-91.2736,-15.915294,-66.167755,-90.49663,66.9061,0.01128983335494995,2966.7351610660553,270000
67.42519,0.41822487,0.65508795,0.14246623,-0.13564277,6.4199905,-69.11452,0.59214437,-69.11452,-98.35102,0.31692755,-67.99041,-97.82719,68.49851,0.011288600969314576,3079.621176958084,280000
67.97731,0.26164883,0.5585186,0.16329211,-0.1865038,5.925144,-69.4623,-20.816557,-69.4623,-98.151695,-13.846092,-67.97731,-97.722946,68.79748,0.011292187666893005,3192.54305768013,290000
