training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
146.67207,0.47182548,3.2766862,0.35982713,-0.32335958,34.525436,-150.40218,-59.760105,-150.40218,-177.40958,-62.074074,-147.30792,-175.66273,150.4206,0.010243502497673035,102.43505311012268,10000
128.95506,0.49499327,2.6922867,0.27254662,-0.3275669,31.25253,-132.34996,-42.481434,-132.34996,-164.14903,-41.40582,-129.45883,-161.29564,132.14235,0.010362703728675843,206.0620994567871,20000
131.5839,0.50781435,1.9331267,0.35365453,-0.3987621,20.320854,-134.76012,-37.09784,-134.76012,-163.97923,-37.808132,-131.5839,-162.04178,134.02483,0.009623063778877259,302.29275131225586,30000
135.43549,0.51967776,1.2590761,0.9852648,-0.6235721,24.395924,-138.99654,-45.267216,-138.99654,-173.25356,-41.325138,-135.43549,-168.6658,137.21425,0.009647828197479249,398.7710392475128,40000
141.79025,0.58375996,2.39115,1.289794,-1.3842877,44.99918,-145.60513,-69.259514,-145.60513,-177.29976,-69.07543,-141.79025,-173.55428,144.76515,0.009656611013412475,495.3371570110321,50000
149.452,0.43803754,2.275281,0.54005224,-0.58253545,28.4239,-153.20732,-60.241844,-153.20732,-187.68231,-62.88081,-149.83679,-181.36838,152.16531,0.009641005373001098,591.7472183704376,60000
156.11118,0.4451068,1.493813,0.28448147,-0.31851435,19.984837,-160.43976,-34.42286,-160.43976,-199.4427,-39.97134,-157.43498,-196.84079,158.05011,0.009657896637916564,688.3262009620667,70000
168.62158,0.37685996,1.1530298,0.8229109,-1.2537211,16.9592,-171.70152,-89.67418,-171.70152,-205.89232,-92.41894,-169.03836,-204.66049,170.15147,0.010136300849914551,789.6892178058624,80000
173.51982,0.4601298,1.6531826,0.14886858,-0.1577659,17.469227,-176.32224,-104.768616,-176.32224,-226.44014,-101.70378,-173.51982,-225.53941,175.63313,0.010251171827316285,892.2009434700012,90000
177.1803,0.43290588,1.7207648,0.5616199,-0.40261737,20.098091,-179.80739,-49.785534,-179.80739,-227.6943,-54.67223,-177.1803,-225.08812,179.33397,0.009406575155258178,986.2667014598846,100000
178.86528,0.41751263,1.8703308,0.27766845,-0.34411764,20.263224,-182.9298,-71.55889,-182.9298,-239.48283,-80.61167,-180.31053,-236.39372,181.15312,0.009489195036888123,1081.158659696579,110000
187.01491,0.5075151,1.8824517,0.19561109,-0.32373828,21.826267,-189.7409,-49.36065,-189.7409,-239.72026,-56.133724,-187.01491,-234.6521,189.40488,0.009709163975715637,1178.2503094673157,120000
194.23122,0.45852995,1.4565556,0.2301371,-0.24165323,15.962656,-196.43073,-104.01413,-196.43073,-250.3279,-100.60443,-194.23122,-247.56355,196.1463,0.009705394649505615,1275.3042659759521,130000
200.83786,0.42778903,2.1490643,0.25552952,-0.2688052,21.552458,-203.61638,-70.02035,-203.61638,-259.23596,-72.84274,-201.64862,-256.24643,203.41472,0.009693592286109925,1372.2401957511902,140000
203.125,0.39215317,2.1114452,0.49639028,-0.65546316,23.119717,-205.22427,-114.54574,-205.22427,-269.20068,-115.452736,-203.125,-266.91095,205.6286,0.009703201150894165,1469.2722158432007,150000
