training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
44.399345,0.45310882,0.16708927,0.14250624,-0.18582693,4.552048,-44.452698,0.086835995,-44.452698,-48.348053,-0.05806295,-44.399345,-48.322117,44.611744,0.010123161482810974,101.23162961006165,10000
70.39688,0.5207598,0.2684513,0.32077625,-0.29670185,6.264598,-70.5403,0.06139297,-70.5403,-83.55873,-0.31159854,-70.39688,-83.498375,70.71741,0.009549966096878052,196.73131012916565,20000
85.24576,0.5743427,0.23520198,0.65584964,-0.45389026,17.020378,-85.46459,-9.54142,-85.46459,-111.05563,-10.369157,-85.24576,-111.01916,85.53839,0.009352662110328674,290.2579357624054,30000
92.18702,0.59274113,0.21845527,0.9306637,-0.7198946,10.810503,-92.34,0.14521223,-92.34,-132.4705,-1.3727674,-92.18702,-132.40508,92.464745,0.0073914589643478395,364.17253065109253,40000
102.16969,0.52870655,0.20406194,0.26412505,-0.3925414,6.6177654,-102.33848,-0.9918436,-102.33848,-146.57393,-2.868344,-102.16969,-146.296,102.42663,0.008573259425163269,449.9051311016083,50000
106.79186,0.45653683,0.34114045,0.8550213,-0.5268167,17.311363,-106.983055,-14.830581,-106.983055,-156.09709,-15.24397,-106.79186,-155.7098,107.17866,0.007688706398010254,526.792200088501,60000
115.48321,0.53398913,0.21309309,0.42157415,-0.5170686,10.437165,-115.71201,-7.546316,-115.71201,-175.91005,-3.991214,-115.48321,-175.54633,115.7497,0.006925780606269837,596.0500092506409,70000
118.850006,0.47510618,0.14234464,0.31073147,-0.3433901,7.712249,-119.0005,-9.547165,-119.0005,-191.82857,-10.576614,-118.850006,-191.43304,119.039856,0.006510184121131897,661.1518557071686,80000
117.323746,0.5084562,0.18828313,0.4390723,-0.40320852,9.109452,-117.52622,-1.0851979,-117.52622,-202.04335,-1.9485711,-117.323746,-201.31047,117.562874,0.007692236161231995,738.0742220878601,90000
119.103546,0.51185095,0.28976446,0.59208775,-0.65822995,14.799012,-119.33001,-0.39956528,-119.33001,-216.48955,-1.1787962,-119.103546,-215.89307,119.444496,0.007872536826133729,816.7995977401733,100000
