training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
42.944935,0.43333596,0.026444584,0.12785159,-0.13416427,2.3014998,-42.949917,-15.205533,-42.949917,-45.084457,-21.266539,-42.944935,-44.881115,43.014713,0.010597174954414368,105.97177529335022,10000
65.34801,0.4248256,0.1995307,0.25805974,-0.3070883,4.264257,-65.356674,0.22190066,-65.356674,-70.14834,-0.40498286,-65.34801,-69.87438,65.59002,0.009493951630592346,200.91130948066711,20000
76.98744,0.4132712,1.0814927,1.9479581,-1.8020568,33.324986,-77.031,-0.16783094,-77.031,-82.815056,-0.6227312,-76.98744,-82.73563,78.11026,0.009495832109451294,295.8696401119232,30000
84.45409,0.4633951,0.14535433,0.16098584,-0.23068102,5.4256854,-84.4931,-1.0139208,-84.4931,-90.87888,-1.5270143,-84.45409,-90.841446,84.64578,0.009495282649993896,390.82247257232666,40000
86.75407,0.4163278,0.0850058,0.06803014,-0.102262944,3.3054962,-86.80438,-13.131476,-86.80438,-95.26606,-14.052141,-86.75407,-95.24166,86.88071,0.009172885084152222,482.5513288974762,50000
86.03375,0.41736224,0.11738312,0.13213688,-0.10173357,2.9223182,-86.107254,-0.14013171,-86.107254,-97.65251,-0.5259417,-86.03375,-97.61257,86.19287,0.008700345706939698,569.5547904968262,60000
87.84927,0.4093626,0.0952719,0.10127975,-0.07385025,2.334161,-87.900215,0.10182287,-87.900215,-99.205826,-0.15845326,-87.84927,-99.161156,87.98548,0.009818942999839783,667.7442247867584,70000
86.37108,0.47151655,0.09830298,0.12310363,-0.10539215,2.4438493,-86.436455,-3.6269412,-86.436455,-100.246086,-4.539246,-86.37108,-100.159966,86.51653,0.010150516581535339,769.2493958473206,80000
88.02785,0.41878057,0.114577316,0.26407635,-0.40196636,5.2027817,-88.13336,-2.636762,-88.13336,-101.26533,-3.1235778,-88.02785,-101.1054,88.1843,0.009512169289588928,864.3710939884186,90000
88.81694,0.4251803,0.12694143,0.71683484,-0.4519722,5.748554,-88.881615,-0.32241672,-88.881615,-101.54446,-0.8412529,-88.81694,-101.49806,88.9864,0.008527625393867493,949.6473524570465,100000
87.37862,0.4155591,0.15985738,0.42503774,-0.18610218,5.175247,-87.45068,0.4697496,-87.45068,-102.1866,-0.1269959,-87.37862,-102.13453,87.58003,0.007646786522865295,1026.1152217388153,110000
88.718506,0.46238235,0.1317867,0.84103215,-0.48072606,4.8863187,-88.79557,0.26438624,-88.79557,-102.14889,-0.4296598,-88.718506,-102.107994,88.89654,0.009396379232406616,1120.0790197849274,120000
91.07205,0.37373087,0.120261334,0.3950368,-0.10879401,2.7478633,-91.122696,-0.17584613,-91.122696,-102.97507,-0.73140615,-91.07205,-102.89125,91.22969,0.010745849633216857,1227.5375277996063,130000
88.84733,0.44827214,0.109811805,0.083985396,-0.076152034,2.2472177,-88.92626,4.108211,-88.92626,-102.82344,0.7627144,-88.84733,-102.75399,89.00197,0.01121492953300476,1339.6868302822113,140000
91.23657,0.36783528,0.10667558,0.07521242,-0.08791983,1.87704,-91.27833,-0.39632297,-91.27833,-105.132965,-0.83047575,-91.23657,-104.84572,91.38003,0.011213256597518921,1451.819402217865,150000
90.63614,0.41633976,0.089747295,0.12124536,-0.109237224,2.1239128,-90.69238,-36.662807,-90.69238,-104.32072,-37.194305,-90.63614,-104.1797,90.76752,0.011215891289710999,1563.978319644928,160000
90.32814,0.37922055,0.0877898,0.29069334,-0.14030033,2.3471153,-90.37433,-0.27077872,-90.37433,-105.73166,-0.65737396,-90.32814,-105.61397,90.45386,0.011214616465568542,1676.1244931221008,170000
90.38873,0.34714672,0.1259251,0.06896385,-0.09405392,2.471147,-90.43995,0.34381673,-90.43995,-106.94081,-0.21662049,-90.38873,-106.8578,90.54937,0.011209744787216187,1788.2219445705414,180000
92.77533,0.3592605,0.096726075,0.17586608,-0.08584806,2.831039,-92.80444,0.4600889,-92.80444,-107.20586,-0.038230237,-92.77533,-106.99349,92.90798,0.01120898003578186,1900.3117554187775,190000
90.32489,0.39355057,0.11028931,0.06678404,-0.09614541,2.2080593,-90.38033,-0.7787972,-90.38033,-108.912384,-0.9887452,-90.32489,-108.7796,90.47453,0.011210003852844238,2012.4117982387543,200000
92.6453,0.36825925,0.086585,0.12705937,-0.13318077,2.2382858,-92.69838,-2.404665,-92.69838,-107.68763,-3.4910965,-92.6453,-107.58718,92.768715,0.011208667159080506,2124.4984736442566,210000
91.81561,0.3779795,0.10988154,0.078416355,-0.082013875,2.332211,-91.86809,2.0075648,-91.86809,-107.49603,0.19167057,-91.81561,-107.310036,91.96329,0.011209181928634643,2236.5902984142303,220000
91.56565,0.40971667,0.113156796,0.21873184,-0.1627247,3.115743,-91.64899,0.6700121,-91.64899,-106.67336,-0.28525868,-91.56565,-106.49145,91.71978,0.011215405702590943,2348.744364500046,230000
92.817184,0.41814715,0.84122324,10.160885,-7.7805386,61.967808,-92.87543,-0.5825556,-92.87543,-106.28775,-1.5085002,-92.817184,-105.985756,93.700226,0.011213106441497802,2460.875434398651,240000
91.08759,0.5050682,0.48679668,0.6121225,-0.88495,10.112081,-91.214294,0.23674001,-91.214294,-105.886024,-0.33377466,-91.08759,-105.74166,91.62489,0.011210482668876648,2572.9802668094635,250000
94.697,0.36250395,0.055572677,0.095248796,-0.10637222,1.8664914,-94.74411,1.5831108,-94.74411,-106.72917,-0.42272425,-94.697,-106.656975,94.78882,0.011208563494682312,2685.065906763077,260000
94.34224,0.37922016,0.11525376,0.10096552,-0.15212913,3.2510962,-94.38721,0.23575595,-94.38721,-108.337326,-0.6619047,-94.34224,-108.272865,94.49542,0.011208587265014648,2797.1517844200134,270000
94.70657,0.35476843,0.07444882,0.09981217,-0.17478795,2.1343353,-94.741356,-0.05410412,-94.741356,-107.49255,-1.0763181,-94.70657,-107.43691,94.8165,0.011207252621650695,2909.224315881729,280000
93.81513,0.4219503,0.20766576,1.2893112,-2.1803539,11.143332,-93.924614,-2.2090204,-93.924614,-107.231865,-3.7407253,-93.81513,-107.09475,94.064995,0.011207539367675781,3021.2997164726257,290000
93.24719,0.40102145,0.15581886,1.7406844,-1.1284628,9.64636,-93.27325,0.89415336,-93.27325,-106.67443,-1.0473287,-93.24719,-106.566246,93.44311,0.011203607082366944,3133.3357927799225,300000
93.43132,0.4040683,0.79446113,4.9817514,-8.222646,58.01754,-93.49004,0.8135871,-93.49004,-105.53889,-0.10146163,-93.43132,-105.39715,94.26619,0.011204031801223755,3245.3761155605316,310000
96.41611,0.38023752,0.14514956,0.38561666,-0.18453753,3.8020012,-96.43902,-12.85072,-96.43902,-106.251205,-13.902529,-96.41611,-106.14935,96.59928,0.011204548120498658,3357.421601295471,320000
95.54097,0.39756942,0.1253135,0.4764036,-0.44656396,5.3907967,-95.63314,-0.1184887,-95.63314,-105.38487,-1.3266178,-95.54097,-105.167435,95.70604,0.011199920058250427,3469.4208056926727,330000
94.06884,0.41206676,0.13273112,0.23308323,-0.29215848,4.0152855,-94.11014,0.22565211,-94.11014,-103.68971,-1.5628148,-94.06884,-103.58927,94.242775,0.011200515460968018,3581.4259662628174,340000
94.38255,0.33339417,0.06743612,0.26096526,-0.21115644,2.931434,-94.41628,-0.09774159,-94.41628,-104.95841,-0.8754026,-94.38255,-104.858315,94.48333,0.011202061295509338,3693.446586370468,350000
94.1599,0.46918178,7.0794206,7.375936,-11.035465,80.18732,-94.322815,-2.5326562,-94.322815,-106.03964,-4.8645196,-94.1599,-105.84226,101.28624,0.011198954272270203,3805.4361345767975,360000
94.80763,0.36863813,0.07516897,0.11279243,-0.09554703,2.1981795,-94.84421,-1.1664693,-94.84421,-105.65852,-2.0392365,-94.80763,-105.64058,94.91967,0.011188112449645996,3917.3172659873962,370000
94.92637,0.35424834,0.14382593,0.39662308,-0.4587375,5.9248266,-94.97951,0.24047285,-94.97951,-106.52522,-0.49711576,-94.92637,-106.31205,95.10562,0.011197129917144775,4029.2885694503784,380000
94.7164,0.36417782,0.08579484,0.18827006,-0.21804501,2.6673415,-94.751854,0.5022677,-94.751854,-105.34343,-0.12077403,-94.7164,-105.22571,94.83861,0.011197216892242432,4141.260742902756,390000
94.40243,0.37374517,0.10460984,0.29570004,-0.6498183,3.6211898,-94.440636,-5.8434157,-94.440636,-103.66615,-9.924606,-94.40243,-103.607315,94.54441,0.011198996710777284,4253.250714540482,400000
96.04181,0.44638085,0.14472403,0.55450565,-0.6899021,7.904555,-96.09788,-2.240456,-96.09788,-105.81331,-3.4362106,-96.04181,-105.70208,96.23117,0.01120106611251831,4365.261380672455,410000
94.663666,0.39065662,0.24078786,1.2429744,-1.4947681,13.9392395,-94.75695,0.91004133,-94.75695,-105.64856,0.27290508,-94.663666,-105.54488,94.94352,0.011201441740989686,4477.27580332756,420000
95.7516,0.37554142,0.06332608,0.13292061,-0.1135996,2.1901906,-95.77909,0.38119474,-95.77909,-105.83945,-0.20023112,-95.7516,-105.80269,95.85248,0.011200747108459473,4589.283279657364,430000
95.23666,0.35130763,0.13477276,0.40696123,-0.5785889,4.21766,-95.27103,0.77541876,-95.27103,-106.44032,0.17073761,-95.23666,-106.349075,95.40656,0.011201400351524353,4701.297286987305,440000
94.64034,0.44787624,0.10727622,0.24091037,-0.4672634,3.603498,-94.713936,-7.562499,-94.713936,-106.590385,-10.107215,-94.64034,-106.49512,94.792404,0.011198102283477783,4813.2783143520355,450000
95.69974,0.36603308,0.10631817,0.46768486,-0.38882974,4.5210986,-95.75002,0.7726131,-95.75002,-105.5811,-1.4059118,-95.69974,-105.58099,95.84266,0.011201677012443543,4925.295089960098,460000
94.53168,0.38348907,0.1446052,0.20031212,-0.2303895,3.218103,-94.57035,-0.25528243,-94.57035,-106.87728,-1.0103339,-94.53168,-106.636925,94.71463,0.011203051257133483,5037.325605869293,470000
96.07051,0.33528873,0.124049,0.14705218,-0.29251492,3.4644785,-96.114426,1.6597573,-96.114426,-106.05214,0.100184575,-96.07051,-105.78656,96.22809,0.01120003685951233,5149.325980424881,480000
95.94461,0.6382896,3.302679,10.8080015,-9.211991,84.17047,-96.10259,4.420217,-96.10259,-103.79585,-0.49919835,-95.94461,-103.53713,99.31112,0.011205230402946471,5261.378296613693,490000
94.477135,0.36791745,0.11426287,0.29529968,-0.4260912,4.2298226,-94.513794,0.5222107,-94.513794,-106.60992,-0.42501393,-94.477135,-106.40852,94.62819,0.01120166220664978,5373.394924163818,500000
95.20381,0.33409595,0.09170184,0.082649894,-0.078094795,1.7827814,-95.22843,0.7572109,-95.22843,-104.21191,-0.006346503,-95.20381,-104.161255,95.328926,0.011199695682525634,5485.391885519028,510000
95.90578,0.38626486,0.09043849,0.14032862,-0.34196177,2.9317403,-95.94541,2.1435206,-95.94541,-106.08952,0.765345,-95.90578,-105.89176,96.03484,0.01120099458694458,5597.401842832565,520000
96.162575,0.3611116,0.0754474,0.07594828,-0.07984733,1.9529616,-96.1995,-9.418252,-96.1995,-105.62844,-9.931524,-96.162575,-105.43135,96.27413,0.011197979259490967,5709.381640195847,530000
95.48198,0.31684655,0.11856862,0.22302966,-0.11227907,2.8435357,-95.51941,-0.2346479,-95.51941,-103.63898,-1.7327465,-95.48198,-103.55208,95.63223,0.011201846289634705,5821.400107145309,540000
96.478455,0.4471054,1.4174312,10.484953,-4.851313,59.736015,-96.62209,1.2502595,-96.62209,-104.93427,-0.62277395,-96.478455,-104.75598,97.9406,0.011197106909751892,5933.371180534363,550000
96.203354,0.37750638,0.11332055,0.25455263,-0.25478402,3.78023,-96.22485,0.9533279,-96.22485,-106.07528,-0.5576615,-96.203354,-105.92849,96.35442,0.01120147683620453,6045.385952711105,560000
95.81291,0.36056307,0.10043416,0.8397819,-1.1633103,6.775662,-95.849846,0.6048045,-95.849846,-106.405365,-0.20537658,-95.81291,-106.29335,95.9494,0.01120711042881012,6157.457062244415,570000
93.62041,0.42934275,0.18223415,0.34352463,-0.21046747,4.1219807,-93.678345,3.258212,-93.678345,-104.144905,0.5275209,-93.62041,-104.036415,93.84557,0.01119456398487091,6269.402708292007,580000
96.619026,0.47666258,0.26123157,0.8213082,-0.77110344,9.113632,-96.75514,1.1923039,-96.75514,-107.767105,-0.43585268,-96.619026,-107.78068,96.927925,0.011198650455474853,6381.389216661453,590000
96.81447,0.35989863,0.1565553,0.43845204,-0.5081019,4.7593813,-96.82958,-49.467056,-96.82958,-105.47582,-50.97122,-96.81447,-105.255226,97.00701,0.011194534230232239,6493.3345630168915,600000
95.80737,0.3549205,0.06772448,0.073534645,-0.0564201,1.9321339,-95.82995,0.19793236,-95.82995,-102.76881,-0.254487,-95.80737,-102.62301,95.91059,0.011199776196479798,6605.33233332634,610000
94.67685,0.37001127,0.14768992,2.7056723,-2.8842697,15.889383,-94.71164,1.6328622,-94.71164,-108.832146,-0.029606273,-94.67685,-107.97556,94.86154,0.011198977732658386,6717.32212138176,620000
95.30405,0.29582208,0.12713179,0.09508955,-0.19853897,2.4385118,-95.32572,0.3618771,-95.32572,-106.94742,-1.3377137,-95.30405,-106.55182,95.460754,0.011200966024398804,6829.331785917282,630000
