training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
47.120663,0.43794534,0.14244647,0.2625674,-0.42929682,7.621262,-47.160442,-7.1294875,-47.160442,-51.453175,-7.3868227,-47.120663,-51.186974,47.3069,0.011433517837524413,114.33518838882446,10000
66.6619,0.6487531,0.6327254,0.80818415,-0.42424732,13.957896,-66.94623,-1.4118026,-66.94623,-100.145706,-1.6893396,-66.6619,-99.74898,67.359505,0.011192243909835815,226.25763273239136,20000
76.905014,0.5231534,0.32515332,0.5071442,-0.6365771,14.166052,-77.07013,-2.8993382,-77.07013,-122.1312,-4.313247,-76.905014,-121.483315,77.28248,0.011182805943489074,338.08569741249084,30000
90.22038,0.61734116,0.2926273,0.5155928,-0.5819343,10.173416,-90.38996,-1.439655,-90.38996,-135.06097,-2.2088296,-90.22038,-134.75984,90.574745,0.011179576230049133,449.8814651966095,40000
94.76238,0.59342563,0.36773765,1.2637615,-0.7089204,17.532997,-95.00911,-1.3555987,-95.00911,-266.52118,-1.3286775,-94.76238,-264.40488,95.18946,0.011182462453842162,561.7060966491699,50000
106.70266,0.4852108,0.41753832,0.93090004,-0.6764241,14.133575,-106.93737,-14.479649,-106.93737,-411.96286,-15.877985,-106.70266,-408.12314,107.168724,0.011173773860931397,673.4438397884369,60000
112.72311,6.2197366,0.47626707,1.2404493,-1.3335363,19.13124,-114.26021,-1.1107734,-114.26021,-571.8149,-3.273938,-112.72311,-238.59978,113.82134,0.011171891260147095,785.1627604961395,70000
117.1435,5.962683,4.8741937,25.167307,-19.812101,291.10123,-118.98091,-18.235998,-118.98091,-749.6628,-19.848295,-117.1435,-743.8022,122.61396,0.011170584845542907,896.8686141967773,80000
121.831985,0.54995704,0.7571811,2.1592305,-2.0915291,30.02583,-122.117676,-0.057866722,-122.117676,-854.8022,-0.9235765,-121.831985,-853.04004,122.64416,0.011171252226829529,1008.5811414718628,90000
126.661575,0.6608584,1.2771573,6.682031,-4.8184414,61.733692,-127.01153,-19.418503,-127.01153,-956.76294,-21.215078,-126.661575,-936.2329,128.00482,0.01117115306854248,1120.2926766872406,100000
