training/actor_loss,training/bc_loss,training/critic_loss,training/grad/max,training/grad/min,training/grad/norm,training/q,training/q_max,training/q_mean,training/q_min,training/q_pe_max,training/q_pe_mean,training/q_pe_min,training/total_loss,time/epoch_time,time/total_time,step
44.622643,0.4972893,0.17231156,0.15477258,-0.074463874,4.04051,-44.66489,-4.7892785,-44.66489,-47.40832,-4.8870897,-44.622643,-47.324196,44.944138,0.012027370429039001,120.27371549606323,10000
72.376396,0.51464546,0.21622057,0.16188686,-0.19048855,5.6017585,-72.42359,-16.316074,-72.42359,-81.8406,-16.75965,-72.376396,-81.796745,72.74701,0.011364335513114929,233.91708111763,20000
96.58475,0.45870045,0.16387473,0.13850619,-0.16201313,4.363587,-96.63158,-18.135805,-96.63158,-108.643074,-18.84606,-96.58475,-108.6205,96.88623,0.011362494516372681,347.54203605651855,30000
103.85588,0.5138067,0.47133622,0.16492352,-0.1270948,6.6864443,-104.009544,-0.8002809,-104.009544,-129.11118,-1.2325318,-103.85588,-129.07819,104.48136,0.011315691351890565,460.69896721839905,40000
110.85961,0.48356512,0.359191,0.25416857,-0.3500926,6.7966914,-110.925896,-5.8495293,-110.925896,-134.84084,-5.0438337,-110.85961,-134.38622,111.36388,0.010220320415496826,562.9021809101105,50000
121.61468,0.49717042,0.2237982,0.2062807,-0.18570448,5.567603,-121.66853,-1.8991625,-121.66853,-144.81638,-3.0664227,-121.61468,-144.72577,121.98763,0.009639053702354431,659.2927303314209,60000
128.7865,0.48769906,0.21766734,0.11059882,-0.12924233,3.999086,-128.90233,-18.139679,-128.90233,-155.1707,-19.4973,-128.7865,-155.09904,129.15048,0.009295307087898254,752.2458095550537,70000
130.89601,0.48291603,0.18821323,0.16478989,-0.10769354,4.436747,-131.04,-1.9407862,-131.04,-163.19525,-2.5634646,-130.89601,-163.09483,131.22911,0.007937037062644958,831.616194486618,80000
137.21768,0.5013351,0.35665184,0.097063094,-0.14690991,5.827508,-137.32652,0.94680905,-137.32652,-169.33818,0.31815454,-137.21768,-169.29454,137.72475,0.007993544435501099,911.5516459941864,90000
140.01613,0.45729992,0.2643821,0.083987035,-0.12884785,5.7645535,-140.12712,-11.963447,-140.12712,-174.04364,-12.123327,-140.01613,-173.97772,140.41771,0.007937663507461548,990.9282915592194,100000
144.17346,0.47181243,0.21603942,0.08669356,-0.044654384,4.025463,-144.24454,-0.44972402,-144.24454,-177.80002,-1.409828,-144.17346,-177.71497,144.53104,0.007934883975982666,1070.277142047882,110000
144.65425,0.40623075,0.29942703,0.19813794,-0.107341684,6.487557,-144.73811,-2.5563385,-144.73811,-181.09789,-3.3651092,-144.65425,-181.03131,145.07555,0.008426334381103516,1154.540494441986,120000
146.34418,0.4264711,0.22512908,0.13849424,-0.084165916,4.648073,-146.44229,-15.560374,-146.44229,-182.78755,-14.909561,-146.34418,-182.52908,146.69725,0.009652450585365296,1251.0650100708008,130000
144.17911,0.49308488,0.18009964,0.057324033,-0.07902942,4.45319,-144.2808,-2.4182682,-144.2808,-186.74542,-3.6364686,-144.17911,-186.70169,144.50713,0.009666638660430908,1347.7314093112946,140000
148.96207,0.4713979,0.2200764,0.07882569,-0.061369043,4.932144,-149.04797,-21.967724,-149.04797,-188.26044,-22.69515,-148.96207,-188.1595,149.32356,0.009665798711776733,1444.3894045352936,150000
